"ExternalSiteId","Latitude","Longitude","Height"
"1000013448",51.3748,5.2181,32
"1000000787",51.376371,6.115726,21
"1000004545",51.3773,6.1507,20
"1000019729",51.383,3.4496,3
"939576001",51.3878,5.1338,26
"1000000692",51.3946069943503,5.57667881011957,20
"1000019993",51.3954,6.3095,0
"918716001",51.396163,5.293921,26
"1000005736",51.402,5.3864,0
"1000017098",51.4021,4.7582,20
"976856001",51.402531,5.381415,23
"1000012174",51.4102,6.0394,28
"1000002270",51.4181464,5.6792739,0
"1000019701",51.4183,5.3958,23
"1000012581",51.4189,6.1474,23
"1000008636",51.4225,5.3855,25
"1000001815",51.4234763231743,3.91327691904917,3
"1000003776",51.42416667,4.47416667,16
"1000019961",51.427,6.6897,0
"1000012511",51.4285,3.8274,3
"1000009787",51.4312,4.3237,20
"1000019792",51.4322,5.3971,26
"1000014028",51.4383,6.768,0
"943846001",51.438774,5.628795,13
"34997149",51.439315,6.568474,34
"1000007227",51.4411,3.5798,3
"1000006091",51.4426,3.5727,3
"1000016927",51.4474,5.4042,18
"1000006111",51.4535,3.5583,0
"1000017257",51.4604,5.4804,18
"1000000352",51.4609,5.7899,25
"918216001",51.464558,5.447087,20
"1000019755",51.4683,5.2484,25
"1000013396",51.4705,3.5931,1
"1000017131",51.4729,3.9634,0
"1000000685",51.4739,5.5685,18
"1000009704",51.4798,4.2725,11
"975326001",51.4805,3.5584,0
"936496001",51.4831,3.6232,0
"1000009330",51.4845,3.6173,1
"1000006113",51.4853,3.6166,3
"1000001609",51.4862371716501,5.46087661838533,17
"1000000054",51.4900329607191,4.04632399330137,0
"1000000231",51.4928522179139,3.89876608699524,0
"1000000273",51.4940716485023,5.39485021719668,0
"1000015055",51.4944,3.6057,0
"1000008830",51.4951,5.5179,0
"1000006112",51.497,3.6142,3
"1000020676",51.4984,7.1249,65
"1000013279",51.5018,3.8976,2
"1000002901",51.5036,5.3075,0
"1000000595",51.5051499,3.90484790000005,0
"1000013565",51.5076,3.6225,-4
"1000011974",51.5081,5.4002,17
"953366001",51.5101,6.0846,20
"1000000872",51.5108315739247,3.61699559755323,1
"937956001",51.5119,6.0969,17
"1000012871",51.5139,5.485,16
"1000008915",51.5147,3.8743,0
"1000000239",51.5163462760566,3.64986746364718,-1
"1000013760",51.5174,5.4861,17
"921496001",51.5186,5.4855,15
"920996002",51.52282,4.461287,0
"1000010633",51.5248,5.0663,40
"1000020204",51.5313,3.4445,2
"1000004826",51.5352,6.071,18
"924356001",51.535899,3.815501,2
"931726001",51.539566,4.476233,5
"943316001",51.540187,5.706264,18
"968116001",51.550431,3.669355,9
"1000010575",51.5551,5.0729,17
"1000009538",51.5566,5.0718,15
"917166001",51.558172,3.496232,0
"1000012421",51.56,5.08,18
"1000017130",51.5617,5.0532,10
"1000000451",51.5665920178039,4.63046663522721,2
"1000018198",51.5673701,4.6483577,7
"1000012299",51.5718,3.7036,3
"1000006892",51.5757,6.2392,0
"914196001",51.579476,5.010256,0
"1000016972",51.5812,6.7324,10
"1000020126",51.5834,6.7256,32
"1000005348",51.5836,4.7772,8
"1000005454",51.5843,5.1501,13
"1000001086",51.5845496940394,5.595681219673,12
"1000016642",51.5853,5.1832,14
"1000019418",51.5856,7.2121,0
"1000012959",51.5866,4.4499,1
"943966001",51.588929,5.001727,15
"1000009909",51.5897,3.7692,-1
"1000019773",51.5904,5.0909,2
"904886001",51.590406,5.313549,0
"1000000825",51.591614,5.5333124,0
"1000016250",51.5917,4.9849,10
"1000006924",51.5976,6.0048,16
"1000005743",51.6008,5.7202,21
"934496001",51.6061,5.9959,19
"1000008009",51.6098,5.14,4
"1000006248",51.6193,4.7297,6
"1000004080",51.6213,5.428,8
"1000012433",51.6218,5.0869,0
"1000020521",51.624,4.848,4
"966286001",51.631464,5.552427,11
"1000008161",51.6315,5.5812,12
"1000009334",51.636,6.0195,18
"939236001",51.6366973,6.0101068,14
"894016001",51.636839,4.481797,0
"1000014543",51.6375,6.089,0
"1000006370",51.6394,4.3528,1
"929966001",51.641618,4.450037,3
"1000002343",51.6440928657709,4.83819300000005,6
"1000003818",51.6462228542974,4.853638408184,3
"1000002195",51.64668803825,4.60661098122591,0
"1000008433",51.651,3.9305,0
"919966001",51.654177,3.984018,-3
"1000010114",51.6594,3.9342,3
"924046001",51.663483,4.544633,1
"1000005893",51.6636,5.624,20
"1000006165",51.6661,5.6799,21
"1000009889",51.6709,5.6096,17
"1000005691",51.6726,5.8036,11
"1000007756",51.6759,4.9804,1
"1000007814",51.6856,5.0665,4
"1000016643",51.6857,5.2886,53
"1000016507",51.6876,6.2643,0
"1000021039",51.6914,4.8826,3
"1000019833",51.6996,5.2677,4
"1000007409",51.709,5.5644,0
"1000007954",51.7102,4.7117,0
"1000020232",51.7112,3.689,5
"1000019540",51.7146,4.6876,0
"1000008751",51.717,5.4263,8
"1000001943",51.7189339,5.0045352,0
"1000016422",51.7348,5.0843,5
"1000000739",51.747766037194,4.06381588814702,0
"1000000053",51.7480002089778,4.55212217361066,0
"964986001",51.74954,5.887426,10
"1000007342",51.7516,5.7556,0
"1000009185",51.7572,4.9233,0
"923726001",51.7573,5.5672,10
"1000004385",51.7579,5.7391,10
"1000006743",51.758,5.1899,3
"1000020299",51.7589,5.524,12
"1000008715",51.7624,5.5133,8
"1000018536",51.763,4.1509,1
"1000002529",51.7646,4.5471,0
"1000012939",51.7651,5.5743,0
"1000013568",51.7714,4.671,-2
"1000016991",51.7726,4.6665,10
"1000009951",51.7737,4.6829,0
"943596001",51.773851,4.614973,1
